record_id,name,DOI,year,journal,cancer_type,stage,comparison_arms,discusses_irAE,irAE_subgroup_analysis,irAE_grading_reported,irAE_organs_reported,reports_OS,reports_PFS,study_design,sample_size,immunotherapy_agent,followup_median_months,irAE_incidence_any_grade,irAE_incidence_grade3plus,biomarker_reported,quality_score,eligibility_decision
11,"Timing of nivolumab with neoadjuvant carboplatin and paclitaxel for early triple-negative breast cancer (BCT1902/IBCSG 61–20; Neo-N): a non-comparative, open-label, randomised, phase 2 trial",,2025,The Lancet Oncology,triple-negative breast cancer,"I (cT1cN0) or II (cT1cN1, cT2cN0–1, or cT3cN0)","['nivolumab lead-in group', 'concurrent group']",yes,no,yes,yes,no,no,"non-comparative, open-label, randomised, phase 2 trial",108,nivolumab,12,,65,,,yes
12,Patient-reported outcomes (PROs) with perioperative durvalumab in resectable NSCLC (AEGEAN),,2025,Journal of Thoracic Oncology,non-small-cell lung cancer,II–IIIB[N2],"['neoadjuvant platinum-based CT plus durvalumab', 'neoadjuvant platinum-based CT plus placebo']",yes,no,no,no,no,no,"double-blind, placebo-controlled study",,durvalumab,,,,,,yes
13,Neoadjuvant chemoradiation with or without PD-1 blockade in locally advanced rectal cancer: a randomized phase 2 trial,,2025,Nature Medicine,locally advanced rectal cancer,,"['neoadjuvant chemoradiation + concurrent/sequential PD-1 blockade', 'neoadjuvant chemoradiation alone']",yes,no,no,no,no,no,randomized phase 2 trial,186,PD-1 blockade,,,,,,yes
14,Outcomes in the Asian subgroup of the phase III randomised HIMALAYA study of tremelimumab plus durvalumab in unresectable hepatocellular carcinoma,,2025,Journal of Hepatology,unresectable hepatocellular carcinoma,,"['STRIDE (Single Tremelimumab Regular Interval Durvalumab)', 'durvalumab monotherapy', 'sorafenib']",yes,yes,yes,no,yes,no,phase III randomised study,479,tremelimumab plus durvalumab,,,19.9,,,yes
15,"Nivolumab plus ipilimumab versus carboplatin-based doublet as first-line treatment for patients with advanced non-small-cell lung cancer aged ≥70 years or with an ECOG performance status of 2 (GFPC 08–2015 ENERGY): a randomised, open-label, phase 3 study",,2025,The Lancet Respiratory Medicine,non-small-cell lung cancer,IV,"['nivolumab plus ipilimumab', 'platinum-based doublet chemotherapy']",yes,no,yes,yes,yes,yes,"randomised, open-label, phase 3 study",216,nivolumab plus ipilimumab,,,,,,yes
16,Cost-Effectiveness Analysis of Lenvatinib plus Pembrolizumab or Everolimus as First-Line Treatment for Advanced Renal Cell Carcinoma,,2025,Clinical Genitourinary Cancer,renal cell carcinoma,advanced,"['lenvatinib plus pembrolizumab', 'lenvatinib plus everolimus', 'sunitinib']",no,no,no,no,no,no,cost-effectiveness analysis,,pembrolizumab,,,,,,no
17,Pembrolizumab With or Without Maintenance Olaparib for Metastatic Squamous NSCLC That Responded to First-Line Pembrolizumab Plus Chemotherapy,,2025,Journal of Thoracic Oncology,squamous NSCLC,metastatic,"['pembrolizumab plus olaparib', 'pembrolizumab plus placebo']",yes,no,yes,no,yes,yes,"randomized, double-blind, phase 3 trial",591,pembrolizumab,33.4,,,,,yes
18,Nivolumab combination therapies in patients with advanced gastric and gastroesophageal junction cancer: the phase II FRACTION gastric cancer study,,2025,ESMO Open,gastric and gastroesophageal junction cancer,advanced/metastatic,"['nivolumab + ipilimumab', 'nivolumab + relatlimab', 'nivolumab + IDO1i']",yes,no,yes,no,no,yes,"randomized, open-label, phase II adaptive-design trial",162,nivolumab,50.2,,,,,yes
19,The Phase 3 KEYLYNK-006 Study of Pembrolizumab Plus Olaparib Versus Pembrolizumab Plus Pemetrexed as Maintenance Therapy for Metastatic Nonsquamous NSCLC,,2025,Journal of Thoracic Oncology,nonsquamous NSCLC,metastatic,"['pembrolizumab plus olaparib', 'pembrolizumab plus pemetrexed']",yes,no,yes,no,yes,yes,phase 3 trial,672,pembrolizumab,39.9,,,,,yes
20,"Tiragolumab in combination with atezolizumab and bevacizumab in patients with unresectable, locally advanced or metastatic hepatocellular carcinoma (MORPHEUS-Liver): a randomised, open-label, phase 1b–2, study",,2025,The Lancet Oncology,hepatocellular carcinoma,"unresectable, locally advanced or metastatic","['tiragolumab plus atezolizumab plus bevacizumab', 'atezolizumab plus bevacizumab']",yes,no,yes,no,no,no,"randomised, open-label, phase 1b–2 study",58,atezolizumab,20.6,,,,,yes
21,"Real-Life Feasibility Of Multiple-Drugs Regimens Including Pembrolizumab In The Treatment Of Persistent, Recurrent Or Metastatic Cervical Cancer",10.1016/j.ijgc.2024.100535,2025,International Journal of Gynecological Cancer,cervical cancer,recurrent-persistent-metastatic,"['CT+B+P', 'CT+P']",yes,no,yes,yes,yes,yes,prospective cohort,16,pembrolizumab,10,55,55,,,yes
22,"Adjuvant chemoradiation combined with immunotherapy for patients with high-risk resectable extrahepatic cholangiocarcinoma and gallbladder cancer: A phase II, multicenter, randomized controlled trial (ACCORD trial)",10.1200/JCO.2025.43.4_suppl.570,2025,Journal of Clinical Oncology,extrahepatic cholangiocarcinoma and gallbladder cancer,resectable,"['chemoradiation-anti-PD-1', 'observation']",yes,no,yes,yes,yes,yes,phase II randomized controlled trial,93,Camrelizumab,,,15.2,,,yes
23,Improving health related quality of life (HRQoL) assessment and immune related adverse event (irAE) classification with novel tools in renal cancer,10.1200/JCO.2025.43.5_suppl.525,2025,Journal of Clinical Oncology,renal cell carcinoma,advanced,"['ipilimumab 12-weekly + nivolumab', 'ipilimumab 3-weekly + nivolumab']",yes,yes,yes,yes,no,no,phase II randomized controlled trial,192,ipilimumab and nivolumab,,,,,,yes
24,"Assessing the risk of locoregional, general, hematological, and late adverse events in patients with locally advanced nasopharyngeal carcinoma treated with immune checkpoint inhibitors - a systematic review and meta-analysis",10.1158/2326-6074.IO2025-B042,2025,Cancer Immunology Research,nasopharyngeal carcinoma,locally advanced,"['ICI + CRT', 'CRT']",yes,no,yes,yes,no,no,systematic review and meta-analysis,572,"sintilimab, toripalimab",,,,,,yes
25,A Systematic Review and Meta-Analysis of Randomized Controlled Trials to Assess the Risk of Immune-Related Adverse Effects (irAEs) in Patients with Locally Advanced Nasopharyngeal Carcinoma Treated with Immune Checkpoint Inhibitors,10.1158/2326-6074.IO2025-B043,2025,Cancer Immunology Research,nasopharyngeal carcinoma,locally advanced,"['ICI + CRT', 'CRT']",yes,no,yes,yes,no,no,systematic review and meta-analysis,572,"sintilimab, toripalimab",,57.47,10.39,,,yes
26,"Durvalumab with or without bevacizumab with transarterial chemoembolisation in hepatocellular carcinoma (EMERALD-1): a multiregional, randomised, double-blind, placebo-controlled, phase 3 study",10.1016/S0140-6736(24)02551-0,2025,The Lancet,hepatocellular carcinoma,unresectable,"['TACE plus durvalumab plus bevacizumab', 'TACE plus durvalumab plus placebo', 'TACE plus placebo alone']",yes,no,yes,yes,no,yes,"randomised, double-blind, placebo-controlled, phase 3 study",616,"durvalumab, bevacizumab",27.9,,,,,yes
27,"A Phase II Open-Label, Randomized Clinical Trial of Atezolizumab with or without Human Recombinant IL-7 (CYT107) in Advanced Urothelial Cancer",10.1158/1078-0432.CCR-24-1728,2025,Clinical Cancer Research,urothelial cancer,advanced,"['atezolizumab alone', 'atezolizumab plus CYT107']",yes,no,yes,no,no,no,"phase II open-label, randomized clinical trial",47,"atezolizumab, CYT107",,,,yes,,yes
28,"Adjuvant Nivolumab for Localized Renal Cell Carcinoma at High Risk of Recurrence after Nephrectomy: Part B of the Randomized, Placebo-Controlled, Phase III CheckMate 914 Trial",10.1200/JCO.24.00773,2025,Journal of Clinical Oncology,renal cell carcinoma,localized,"['nivolumab', 'placebo', 'nivolumab plus ipilimumab']",yes,no,yes,no,no,yes,"randomized, placebo-controlled, phase III trial",825,"nivolumab, ipilimumab",27,,,,,yes
29,Adjuvant Pembrolizumab versus Observation in Muscle-Invasive Urothelial Carcinoma,10.1056/NEJMoa2401726,2025,New England Journal of Medicine,urothelial carcinoma,muscle-invasive,"['pembrolizumab', 'observation']",yes,no,yes,no,yes,yes,phase 3 trial,702,pembrolizumab,44.8,,,,,yes
30,Neoadjuvant anti-PD-1 alone or in combination with anti-TIGIT or an oncolytic virus in resectable stage IIIB–D melanoma: a phase 1/2 trial,10.1038/s41591-024-03411-x,2025,Nature Medicine,melanoma,stage IIIB–D,"['pembrolizumab plus vibostolimab', 'pembrolizumab plus gebasaxturev', 'pembrolizumab monotherapy']",yes,no,yes,no,no,no,phase 1/2 trial,66,"pembrolizumab, vibostolimab, gebasaxturev",,,,yes,,yes
31,Efficacy and safety of PD-1/PD-L1 inhibitors combined with tyrosine kinase inhibitors as first-line treatment for hepatocellular carcinoma: a meta-analysis and trial sequential analysis of randomized controlled trials,10.3389/fphar.2025.1535444,2025,Frontiers in Pharmacology,hepatocellular carcinoma,advanced or unresectable,"['PD-1/PD-L1 inhibitors + TKIs', 'first-line monotherapy or TKI monotherapy']",yes,yes,yes,yes,yes,yes,meta-analysis and trial sequential analysis of RCTs,2174,PD-1/PD-L1 inhibitors,,,,hepatitis B virus (HBV) infection,,yes
32,Adverse events self-reported by patients with extensive-stage small-cell lung cancer in the phase III CASPIAN study,10.1080/14796694.2025.2491297,2025,Future Oncology,extensive-stage small-cell lung cancer,extensive-stage,"['durvalumab + EP', 'EP']",yes,no,yes,yes,no,no,phase III RCT,537,durvalumab,,,,,,yes
33,Subcutaneous versus intravenous nivolumab for renal cell carcinoma,10.1016/j.annonc.2024.09.002,2025,Annals of Oncology,renal cell carcinoma,advanced/metastatic clear cell,"['subcutaneous nivolumab', 'intravenous nivolumab']",yes,no,yes,yes,no,no,phase III RCT,495,nivolumab,8,,,,,yes
34,"Increasing Incidence Of Myocarditis Associated With Nivolumab/relatlimab (opdualag), A Retrospective Analysis Of FDA Adverse Event Reporting System Database",10.1016/j.cardfail.2024.10.122,2025,Journal of Cardiac Failure,melanoma,unresectable or metastatic,,yes,yes,yes,yes,no,no,retrospective analysis,310,nivolumab/relatlimab,,,,,,yes
35,Tebentafusp (IMCgp100) in the treatment of uveal melanoma — from preclinical evidence to clinical practice,10.5603/njo.104457,2025,Nowotwory,uveal melanoma,advanced/metastatic,"['tebentafusp', 'investigator’s choice (mainly pembrolizumab)']",yes,no,yes,yes,yes,no,phase III RCT,378,tebentafusp,,,,HLA*02:01,,yes
36,Atezolizumab combined with platinum and maintenance Niraparib for Recurrent Ovarian Cancer with a Platinum-Free Interval >6 months: ENGOT-OV41/GEICO 69-O/ANITA Phase III Trial,NCT03598270,2024,Journal of Clinical Oncology,ovarian cancer,recurrent,"['atezolizumab', 'placebo']",yes,yes,yes,yes,yes,yes,randomized controlled trial,417,atezolizumab,28.6,,,PD-L1 status,8,yes
37,Time-dependent efficacy analysis of first-line immunotherapies for advanced non–small cell lung cancer,,2024,BMC Cancer,non-small cell lung cancer,advanced,"['nivolumab plus ipilimumab', 'pembrolizumab']",no,no,no,no,yes,yes,network meta-analysis,,nivolumab plus ipilimumab,,,,PD-L1 expression,6,no
38,"The role of cytoreductive nephrectomy in metastatic renal cell carcinoma in immune-oncology era (SEVURO-CN): study protocol for a multi-center, prospective, randomized trial",NCT05753839,2024,Trials,metastatic renal cell carcinoma,metastatic,"['upfront cytoreductive nephrectomy', 'deferred cytoreductive nephrectomy', 'systemic therapy only']",no,no,no,no,yes,yes,randomized controlled trial,55,nivolumab plus ipilimumab,,,,genetic mutation profile,7,no
39,Toripalimab plus chemotherapy and radiotherapy for treatment-naive advanced esophageal squamous cell carcinoma: a single-arm phase 2 trial,ChiCTR2100046715,2024,Nature Communications,esophageal squamous cell carcinoma,advanced,['toripalimab plus chemotherapy and radiotherapy'],yes,no,yes,yes,yes,yes,single-arm phase 2 trial,,toripalimab,12,,,CD8+ T cell density,7,yes
40,Datopotamab–deruxtecan in early-stage breast cancer: the sequential multiple assignment randomized I-SPY2.2 phase 2 trial,NCT01042379,2024,Nature Medicine,breast cancer,high-risk stage 2/3,"['datopotamab–deruxtecan', 'taxane-based regimen', 'doxorubicin–cyclophosphamide']",yes,no,yes,yes,no,no,sequential multiple assignment randomized trial,103,datopotamab–deruxtecan,,,,HER2 status,8,yes
41,A phase 2 study of frontline pembrolizumab in follicular lymphoma,10.1002/jha2.1029,2024,eJHaem,follicular lymphoma,advanced,,yes,no,yes,yes,no,no,phase 2,9,pembrolizumab,,3,2,no,,yes
42,Efficacy and safety of lenvatinib and pembrolizumab as first-line treatment for advanced renal cell carcinoma patients: real-world experience in Japan,10.1007/s10147-024-02633-w,2024,International Journal of Clinical Oncology,advanced renal cell carcinoma,advanced,,yes,no,yes,yes,yes,yes,real-world study,50,lenvatinib and pembrolizumab,,50,33,no,,yes
43,Trial protocol for SiroSkin: a randomised double-blind placebo-controlled trial of topical sirolimus in chemoprevention of facial squamous cell carcinomas in solid organ transplant recipients,10.1186/s13063-024-08619-3,2024,Trials,squamous cell carcinomas,,"['topical sirolimus', 'placebo']",no,no,no,no,no,no,phase III randomized controlled trial,146,sirolimus,24,,,no,,no
44,Pharmacist intervention and identification of adverse events related to treatment efficacy in cancer chemotherapy to improve clinical outcomes,10.1186/s40780-024-00403-4,2024,Journal of Pharmaceutical Health Care and Sciences,,,,no,no,no,no,yes,yes,review,,,,,,no,,no
45,"Neoadjuvant and adjuvant toripalimab for locoregionally advanced nasopharyngeal carcinoma: a randomised, single-centre, double-blind, placebo-controlled, phase 2 trial",10.1016/S1470-2045(24)00504-7,2024,The Lancet Oncology,nasopharyngeal carcinoma,locoregionally advanced,"['toripalimab', 'placebo']",yes,no,yes,yes,no,yes,phase 2 randomized controlled trial,150,toripalimab,37.8,,10,yes,,yes
46,Enfortumab vedotin plus pembrolizumab (EV+P) vs chemotherapy (Chemo) in previously untreated locally advanced or metastatic urothelial carcinoma (la/mUC): Pan-Asian subgroup analysis from EV-302/KEYNOTE-A39,,2024,Annals of Oncology,urothelial carcinoma,locally advanced or metastatic,"['Enfortumab vedotin plus pembrolizumab (EV+P)', 'chemotherapy (Chemo)']",yes,no,yes,yes,yes,yes,phase III,176,pembrolizumab,15.6,,,,,yes
47,"Radiotherapy with cetuximab or durvalumab for locoregionally advanced head and neck cancer in patients with a contraindication to cisplatin (NRG-HN004): an open-label, multicentre, parallel-group, randomised, phase 2/3 trial",10.1016/S1470-2045(24)00507-2,2024,The Lancet Oncology,head and neck squamous cell carcinoma (HNSCC),III–IVB p16-negative HNSCC or unfavourable stage I–III p16-positive oropharyngeal or unknown primary carcinoma,"['durvalumab', 'cetuximab']",yes,no,yes,yes,no,yes,"open-label, multicentre, parallel-group, randomised, phase 2/3 trial",186,"durvalumab, cetuximab",27.6,,,p16 status,,yes
48,"Nivolumab plus relatlimab and nivolumab plus ipilimumab for patients with advanced renal cell carcinoma: results from the open-label, randomised, phase II FRACTION-RCC trial",10.1016/j.esmoop.2024.104073,2024,ESMO Open,advanced renal cell carcinoma,advanced,"['NIVO + RELA', 'NIVO + IPI']",yes,no,yes,no,no,yes,"open-label, randomised, phase II",60,"nivolumab, relatlimab, ipilimumab",48.6,,14,"LAG-3, PD-L1",,yes
49,Nivolumab plus Ipilimumab in Microsatellite-Instability-High Metastatic Colorectal Cancer,10.1056/NEJMoa2402141,2024,New England Journal of Medicine,microsatellite-instability-high (MSI-H) or mismatch-repair-deficient (dMMR) metastatic colorectal cancer,metastatic,"['nivolumab plus ipilimumab', 'nivolumab alone', 'chemotherapy with or without targeted therapies']",yes,no,yes,no,no,yes,phase 3 open-label trial,303,nivolumab plus ipilimumab,31.5,,23,MSI-H or dMMR status,,yes
